dist,rng,nit,time_s
normal_distribution<double>,minstd_rand0,1052641,0.740026
normal_distribution<double>,minstd_rand0,1422438,0.841438
normal_distribution<double>,minstd_rand0,1690483,0.999931
normal_distribution<double>,minstd_rand0,1690599,0.998104
normal_distribution<double>,minstd_rand0,1693810,1.00683
normal_distribution<double>,minstd_rand0,1682318,1.00387
normal_distribution<double>,minstd_rand0,1675827,0.994434
normal_distribution<double>,minstd_rand0,1685206,1.00082
normal_distribution<double>,minstd_rand0,1683830,0.994645
normal_distribution<double>,minstd_rand0,1692895,1.00303
normal_distribution<double>,minstd_rand0,1687776,0.997084
normal_distribution<double>,minstd_rand0,1692711,0.9989
normal_distribution<double>,minstd_rand0,1694575,1.00179
normal_distribution<double>,minstd_rand0,1691548,1.00028
normal_distribution<double>,minstd_rand0,1691082,0.99949
normal_distribution<double>,minstd_rand0,1691944,1.00335
normal_distribution<double>,minstd_rand0,1686294,0.998502
normal_distribution<double>,minstd_rand0,1688823,1.00029
normal_distribution<double>,minstd_rand0,1688333,0.997603
normal_distribution<double>,minstd_rand0,1692389,1.00012
normal_distribution<double>,minstd_rand,1377425,0.899981
normal_distribution<double>,minstd_rand,1530504,0.912817
normal_distribution<double>,minstd_rand,1676682,0.994402
normal_distribution<double>,minstd_rand,1686120,1.00258
normal_distribution<double>,minstd_rand,1681787,0.999699
normal_distribution<double>,minstd_rand,1682293,1.00343
normal_distribution<double>,minstd_rand,1676548,0.997231
normal_distribution<double>,minstd_rand,1681202,1.00437
normal_distribution<double>,minstd_rand,1673890,0.992426
normal_distribution<double>,minstd_rand,1686664,1.00234
normal_distribution<double>,minstd_rand,1682719,0.998153
normal_distribution<double>,minstd_rand,1685832,1.00047
normal_distribution<double>,minstd_rand,1685036,1.00173
normal_distribution<double>,minstd_rand,1682130,0.999307
normal_distribution<double>,minstd_rand,1683296,1.00105
normal_distribution<double>,minstd_rand,1681535,1.00073
normal_distribution<double>,minstd_rand,1680313,1.00177
normal_distribution<double>,minstd_rand,1677352,0.996314
normal_distribution<double>,minstd_rand,1683557,0.998503
normal_distribution<double>,minstd_rand,1686080,1.00713
normal_distribution<double>,mt19937,1434732,1.05513
normal_distribution<double>,mt19937,1359773,0.848564
normal_distribution<double>,mt19937,1602440,0.998579
normal_distribution<double>,mt19937,1604719,0.99976
normal_distribution<double>,mt19937,1605103,1.00012
normal_distribution<double>,mt19937,1604916,1.00099
normal_distribution<double>,mt19937,1603328,1.00147
normal_distribution<double>,mt19937,1600974,1.00097
normal_distribution<double>,mt19937,1599415,0.995964
normal_distribution<double>,mt19937,1605895,1.00106
normal_distribution<double>,mt19937,1604197,0.999831
normal_distribution<double>,mt19937,1604467,0.999836
normal_distribution<double>,mt19937,1604729,1.00105
normal_distribution<double>,mt19937,1603038,1.00351
normal_distribution<double>,mt19937,1597435,0.998137
normal_distribution<double>,mt19937,1600415,0.996323
normal_distribution<double>,mt19937,1606320,1.00096
normal_distribution<double>,mt19937,1604781,1.00364
normal_distribution<double>,mt19937,1598964,0.995147
normal_distribution<double>,mt19937,1606762,1.00033
normal_distribution<double>,mt19937_64,1200491,0.807194
normal_distribution<double>,mt19937_64,1487239,0.901162
normal_distribution<double>,mt19937_64,1650356,1.00108
normal_distribution<double>,mt19937_64,1648576,0.999495
normal_distribution<double>,mt19937_64,1649409,0.998124
normal_distribution<double>,mt19937_64,1652509,1.00376
normal_distribution<double>,mt19937_64,1646311,1.00211
normal_distribution<double>,mt19937_64,1642837,0.998784
normal_distribution<double>,mt19937_64,1644837,0.998994
normal_distribution<double>,mt19937_64,1646494,0.999144
normal_distribution<double>,mt19937_64,1647905,1.00335
normal_distribution<double>,mt19937_64,1642400,0.99567
normal_distribution<double>,mt19937_64,1649543,0.998663
normal_distribution<double>,mt19937_64,1651752,1.00103
normal_distribution<double>,mt19937_64,1650056,1.00014
normal_distribution<double>,mt19937_64,1649822,0.998645
normal_distribution<double>,mt19937_64,1652061,1.00085
normal_distribution<double>,mt19937_64,1650660,1.00023
normal_distribution<double>,mt19937_64,1650284,1.00403
normal_distribution<double>,mt19937_64,1643654,0.996042
normal_distribution<double>,ranlux24_base,1548001,0.92474
normal_distribution<double>,ranlux24_base,1673984,0.912355
normal_distribution<double>,ranlux24_base,1834795,1.00147
normal_distribution<double>,ranlux24_base,1832093,1.0006
normal_distribution<double>,ranlux24_base,1831000,0.996814
normal_distribution<double>,ranlux24_base,1836852,1.00218
normal_distribution<double>,ranlux24_base,1832860,0.998794
normal_distribution<double>,ranlux24_base,1835073,1.00192
normal_distribution<double>,ranlux24_base,1831555,0.998749
normal_distribution<double>,ranlux24_base,1833849,0.997333
normal_distribution<double>,ranlux24_base,1838753,1.00251
normal_distribution<double>,ranlux24_base,1834142,0.997861
normal_distribution<double>,ranlux24_base,1838073,1.00062
normal_distribution<double>,ranlux24_base,1836925,0.999454
normal_distribution<double>,ranlux24_base,1837928,1.0014
normal_distribution<double>,ranlux24_base,1835364,1.00043
normal_distribution<double>,ranlux24_base,1834568,0.999286
normal_distribution<double>,ranlux24_base,1835879,0.999538
normal_distribution<double>,ranlux24_base,1836727,1.00312
normal_distribution<double>,ranlux24_base,1831018,0.996719
normal_distribution<double>,ranlux48_base,1109887,0.968638
normal_distribution<double>,ranlux48_base,1145822,0.916641
normal_distribution<double>,ranlux48_base,1250023,0.998623
normal_distribution<double>,ranlux48_base,1251746,0.997464
normal_distribution<double>,ranlux48_base,1254928,0.998631
normal_distribution<double>,ranlux48_base,1256648,1.00452
normal_distribution<double>,ranlux48_base,1250991,0.996687
normal_distribution<double>,ranlux48_base,1255149,0.999561
normal_distribution<double>,ranlux48_base,1255700,1.00017
normal_distribution<double>,ranlux48_base,1255484,1.0026
normal_distribution<double>,ranlux48_base,1252229,1.00227
normal_distribution<double>,ranlux48_base,1249396,0.996134
normal_distribution<double>,ranlux48_base,1254244,0.998578
normal_distribution<double>,ranlux48_base,1256030,1.00291
normal_distribution<double>,ranlux48_base,1252380,0.997681
normal_distribution<double>,ranlux48_base,1255290,1.00214
normal_distribution<double>,ranlux48_base,1252609,1.00502
normal_distribution<double>,ranlux48_base,1246346,0.993721
normal_distribution<double>,ranlux48_base,1254221,1.00011
normal_distribution<double>,ranlux48_base,1254088,1.00188
normal_distribution<double>,ranlux24,158029,0.342532
normal_distribution<double>,ranlux24,461355,0.782326
normal_distribution<double>,ranlux24,589722,0.99824
normal_distribution<double>,ranlux24,590761,1.00012
normal_distribution<double>,ranlux24,590691,0.999869
normal_distribution<double>,ranlux24,590768,0.99847
normal_distribution<double>,ranlux24,591673,1.00565
normal_distribution<double>,ranlux24,588351,0.99597
